team,Avg Points Per Game,Avg Poss Per Game
Gardner-Webb Runnin' Bulldogs,73.56,71.62
George Mason Patriots,71.48,66.19
George Washington Revolutionaries,77.32,73.7
Georgetown Hoyas,71.32,69.12
Georgia Bulldogs,74.62,71.48
Georgia Southern Eagles,73.12,71.75
Georgia State Panthers,76.53,72.18
Georgia Tech Yellow Jackets,70.71,70.67
Gonzaga Bulldogs,85.68,71.65
Goshen Maple Leafs,40.0,73.84
Grambling Tigers,67.36,68.98
Grand Canyon Lopes,79.5,70.96
Green Bay Phoenix,68.55,65.73
Gwynedd-Mercy Griffins,58.0,80.21
Hampton Pirates,70.27,69.8
Hannibal-LaGrange Trojans,52.0,67.96
Harvard Crimson,70.42,69.39
Hawai'i Rainbow Warriors,72.52,69.63
High Point Panthers,84.38,71.74
Hofstra Pride,74.69,67.96
Holy Cross Crusaders,66.56,66.78
Houston Christian Huskies,71.64,75.47
Houston Cougars,74.0,65.83
Howard Bison,75.3,72.37
IU Indianapolis Jaguars,65.87,70.01
Idaho State Bengals,70.88,67.3
Idaho Vandals,67.94,67.25
Illinois Fighting Illini,84.15,72.45
Illinois State Redbirds,66.94,66.43
Incarnate Word Cardinals,72.93,73.69
Indiana Hoosiers,72.5,70.63
Indiana State Sycamores,84.55,72.87
Iona Gaels,71.59,69.09
Iowa Hawkeyes,83.1,73.77
Iowa State Cyclones,75.76,69.66
Jackson State Tigers,71.52,71.9
Jacksonville Dolphins,71.38,70.26
Jacksonville State Gamecocks,70.1,68.65
James Madison Dukes,84.15,74.1
Jarvis Christian Bulldogs,66.0,89.91
John Brown Golden Eagles,70.0,72.07
Johnson & Wales (NC),61.0,72.77
Johnson University Florida Suns,44.5,83.46
Kansas City Roos,72.26,69.79
Kansas Jayhawks,76.0,71.31
Kansas State Wildcats,72.34,71.53
Kennesaw State Owls,82.73,77.78
Kent State Golden Flashes,75.24,70.0
Kentucky Christian Knights,54.0,71.35
Kentucky State Thorobreds,57.5,75.12
Kentucky Wildcats,89.52,76.09
Keystone Giants,50.0,77.59
King (TN) Tornado,56.0,82.7
LSU Tigers,76.87,72.35
La Salle Explorers,72.66,69.55
La Verne Leopards,62.0,75.84
Lafayette Leopards,62.87,67.09
Lake Erie Storm,69.0,77.89
Lamar Cardinals,78.47,72.99
Le Moyne Dolphins,73.13,70.71
LeTourneau Yellow Jackets,49.0,68.63
Lehigh Mountain Hawks,73.26,72.93
Lewis & Clark Pioneers,72.0,76.21
Liberty Flames,74.35,67.34
Life Pacific Warriors,70.0,81.36
Lindenwood Lions,65.67,70.0
Linfield College Wildcats,46.0,70.05
Lipscomb Bisons,82.29,71.94
Little Rock Trojans,78.06,71.55
Long Beach State Beach,77.85,74.85
Long Island University Sharks,64.24,70.32
Longwood Lancers,75.27,71.13
Louisiana Ragin' Cajuns,74.0,69.27
Louisiana Tech Bulldogs,75.0,69.29
Louisville Cardinals,71.58,72.04
