Player,SG OTT,SG OTT Percentile,Driving Distance,Distance Percentile,Driving Accuracy,Accuracy Percentile,Good Drive %,GD % Percentile,SG Approach,SG App. Percentile,GIR %,GIR Percentile,RTP Approach 175-200,RTP Approach 175-200 Percentile,RTP Approach 175-200 R,RTP Approach 175-200 R Percentile,RTP Approach 125-150,RTP Approach 125-150 Percentile,RTP Approach 125-150 R,RTP Approach 125-150 R Percentile,SG ATG,SG ATG Percentile,Scrambling %,Srambling % Percentile,RTP Scrambling Rough,RTP Scrambling Rough Percentile,SG Putting,SG Putting Percentile,Putting Avg,Putting Avg Percentile,3 Putt %,3 Putt % Percentile,Total Percentile,Rank
Ryan Gerard,0.195,0.641,301.8,0.491,0.6051,0.595,0.8249,0.689,0.437,0.842,0.6463,0.349,0.078,0.14200000000000002,0.143,0.6619999999999999,-0.055,0.22599999999999998,0.083,0.481,0.097,0.619,0.6204,0.677,0.405,0.69,0.135,0.603,1.732,0.744,0.0269,0.41900000000000004,0.56542,49.0
Takumi Kanaya,0.189,0.63,287.8,0.049,0.7118,0.978,0.8706,0.988,-0.534,0.065,0.6577,0.53,-0.033,0.758,0.357,0.136,-0.044,0.18700000000000006,0.0,0.825,0.195,0.76,0.6711,0.961,0.367,0.854,0.27,0.815,1.795,0.09299999999999997,0.027,0.402,0.5608175000000001,50.0
Quade Cummins,0.153,0.597,302.0,0.519,0.5543,0.24,0.801,0.361,-0.111,0.32,0.6578,0.535,0.045,0.30600000000000005,-0.056,0.978,-0.091,0.385,0.069,0.5429999999999999,-0.222,0.163,0.6421,0.836,0.371,0.842,0.498,0.929,1.75,0.503,0.0189,0.854,0.5601324999999999,51.0
Andrew Novak,0.239,0.722,299.4,0.409,0.5772,0.377,0.7644,0.056,0.048,0.505,0.6121,0.065,0.008,0.526,0.194,0.526,-0.179,0.859,0.175,0.243,0.251,0.836,0.6276,0.743,0.405,0.69,0.077,0.543,1.731,0.771,0.0192,0.842,0.557975,52.0
Hideki Matsuyama,-0.01,0.402,300.2,0.448,0.5526,0.218,0.7727,0.084,0.272,0.701,0.6444,0.316,-0.05,0.854,0.214,0.475,-0.151,0.729,0.083,0.481,0.524,0.972,0.6844,0.989,0.316,0.978,0.179,0.69,1.766,0.32299999999999995,0.0367,0.10199999999999998,0.5572250000000001,53.0
Erik van Rooyen,0.255,0.739,308.2,0.786,0.607,0.622,0.8333,0.779,0.144,0.581,0.6785,0.754,0.04,0.33899999999999997,0.2,0.515,-0.103,0.46399999999999997,0.074,0.532,-0.024,0.396,0.5294,0.016,0.446,0.492,-0.055,0.358,1.72,0.858,0.0236,0.6950000000000001,0.554505,54.0
Jordan Spieth,0.355,0.847,305.2,0.666,0.5981,0.519,0.8356,0.807,0.156,0.597,0.6528,0.437,0.157,0.01200000000000001,0.182,0.577,-0.021,0.119,0.172,0.255,0.246,0.831,0.6123,0.573,0.523,0.16400000000000003,0.138,0.614,1.722,0.847,0.0235,0.7010000000000001,0.5524374999999999,55.0
Chris Gotterup,0.376,0.858,313.9,0.928,0.5451,0.147,0.8282,0.723,-0.084,0.358,0.6983,0.934,-0.043,0.8140000000000001,0.118,0.741,0.0,0.09699999999999998,0.061,0.5880000000000001,-0.053,0.336,0.6679,0.95,0.402,0.718,-0.142,0.277,1.774,0.20799999999999996,0.0349,0.13,0.5511875,56.0
Aaron Rai,0.349,0.836,286.6,0.043,0.7343,1.0,0.8746,1.0,0.403,0.826,0.6921,0.879,0.083,0.125,0.0,0.944,-0.073,0.28900000000000003,0.0,0.825,-0.019,0.418,0.5827,0.278,0.456,0.42400000000000004,-0.137,0.282,1.758,0.394,0.0289,0.30600000000000005,0.5481275000000001,57.0
Christiaan Bezuidenhout,-0.388,0.114,287.8,0.049,0.6313,0.792,0.8073,0.474,-0.208,0.239,0.646,0.344,0.04,0.33899999999999997,0.061,0.831,-0.111,0.509,-0.13,0.984,0.274,0.869,0.6246,0.704,0.447,0.486,0.363,0.869,1.744,0.602,0.024,0.645,0.5479725,58.0
